Customer_ID,Cus_Fname,Cus_Lname,Cus_zipcode,Cus_city,Cus_State,Cus_Region ,Cus_Salary,Cus_Gender,Cus_Age,Cus_Style,Cus_Email,Cus_career,Cus_tel
7-191-4882-01,Romeo,Bates,40507,Lexington-Fayette, Kentucky,Southeastern,"8,654.00",F,57,medium,Romeo.Bates@ google.com,Financial Advisor,1-654-423-694
2-125-5029-71,Ralph,Gilmore,33128,Miami ,Florida,Southeastern,"9,741.00",F,36,medium,Ralph.Gilmore@ google.com,Marketing Manager,1-817-780-046
6-690-9397-43,Isaac,Graves,11040,North Hempstead, New York,Northeastern,"23,916.00",M,62,fast,Isaac.Graves@ google.com,Janitor,1-137-728-351
1-026-5133-93,Tyrese,Burns,94122,San Francisco,California,Western,"24,737.00",F,61,medium,Tyrese.Burns@ google.com,Psychologist,1-775-550-995
8-289-2828-34,Reynaldo,Galvan,79401,Lubbock,Texas,Southwestern,"30,876.00",M,30,fast ,Reynaldo.Galvan@ google.com,Clinical Laboratory Technician,1-743-250-152
9-514-6703-24,Kolten,Bullock,95201,Stockton,California,Western,"14,148.00",F,56,fast,Kolten.Bullock@ google.com,Veterinarian,1-007-083-718
8-437-6578-16,Valentin,Day,14602,Rochester, New York,Northeastern,"56,970.00",F,26,slow,Valentin.Day@ google.com,Executive Assistant,1-096-989-226
2-478-3385-32,Reagan,Barr,70112,New Orleans,Louisiana,Southeastern,"27,608.00",F,67,slow,Reagan.Barr@ google.com,Patrol Officer,1-028-001-623
1-836-9886-71,Kian,Flores,33602,Tampa,Florida,Southeastern,"44,874.00",F,27,slow,Kian.Flores@ google.com,Cost Estimator,1-289-029-551
1-632-9172-78,Ronald,Mccann,94612,Oakland,California,Western,"52,422.00",M,64,fast,Ronald.Mccann@ google.com,Software Developer,1-244-039-662
1-850-4797-13,Jairo,White,55411,Minneapolis,Minnesota,MidWestern,"6,234.00",M,61,medium,Jairo.White@ google.com,Zoologist,1-976-125-916
0-870-7149-49,Austin,Larson,83702,Boise,Idaho,Western,"30,928.00",M,34,medium,Austin.Larson@ google.com,Referee,1-404-912-444
4-160-2488-41,Winston,Fischer,67201,Wichita,Kansas,MidWestern,"28,127.00",F,65,fast,Winston.Fischer@ google.com,Secretary,1-880-195-315
6-889-9117-95,Aedan,Navarro,48226,Detroit,Michigan,MidWestern,"19,351.00",F,57,medium,Aedan.Navarro@ google.com,Radiologic Technologist,1-479-879-298
1-778-3926-98,Anthony,Grant,46802,Fort Wayne,Indiana,MidWestern,"13,904.00",M,36,medium,Anthony.Grant@ google.com,Writer,1-686-149-369
9-567-8962-39,Camron,Pittman,99501,Anchorage,Alaska,Western,"64,544.00",F,43,medium,Camron.Pittman@ google.com,Historian,1-163-096-520
3-529-8312-75,Daniel,Holder,68508,Lincoln,Nebraska,MidWestern,"37,945.00",M,51,fast,Daniel.Holder@ google.com,Registered Nurse,1-238-485-869
9-713-4107-23,Alejandro,Maynard,76102,Fort Worth,Texas,Southwestern,"43,862.00",F,46,slow,Alejandro.Maynard@ google.com,Physician,1-202-634-056
3-560-5189-40,Jameson,Braun,23510,Norfolk,Virginia,Southeastern,"14,373.00",M,56,fast,Jameson.Braun@ google.com,Database administrator,1-593-328-418
6-697-9613-23,Landen,Dodson,20318,Arlington,Virginia,Southeastern,"42,081.00",F,70,medium,Landen.Dodson@ google.com,Computer Systems Administrator,1-512-080-120
0-902-9288-78,Baron,Reed,80202,Denver,Colorado,Western,"37,634.00",M,45,slow,Baron.Reed@ google.com,Computer Systems Analyst,1-928-443-941
3-056-4584-24,Jamarion,Huerta,91911,Sacramento,California,Western,"37,067.00",F,54,slow,Jamarion.Huerta@ google.com,Automotive mechanic,1-853-983-998
1-827-9895-46,Elias,Mckinney,88901,Las Vegas,Nevada,Western,"44,035.00",M,31,slow,Elias.Mckinney@ google.com,Substance Abuse Counselor,1-648-979-541
1-378-3459-37,Ricky,Juarez,28105,Charlotte,North Carolina,Southeastern,"55,215.00",F,42,slow,Ricky.Juarez@ google.com,Professional athlete,1-554-904-497
0-877-8567-05,Francisco,Floyd,7101,Newark,New Jersey,Northeastern,"15,596.00",M,51,fast,Francisco.Floyd@ google.com,Statistician,1-972-722-444
6-069-9399-60,Jakob,Dean,30301,Atlanta,Georgia,Southeastern,"30,475.00",F,59,medium,Jakob.Dean@ google.com,Surveyor,1-324-993-120
7-761-5367-40,Junior,Beck,93722,Fresno,California,Western,"45,400.00",F,31,medium,Junior.Beck@ google.com,Farmer,1-130-491-540
2-250-5381-58,Jaxon,Colon,48127,Detroit,Michigan,MidWestern,"19,184.00",F,60,medium,Jaxon.Colon@ google.com,Judge,1-105-598-322
2-795-4392-87,Kenneth,Mcgrath,92345,San Jose ,California,Western,"48,066.00",F,47,fast,Kenneth.Mcgrath@ google.com,Microbiologist,1-733-763-095
5-389-6081-71,Mauricio,Underwood,77433,Plano,Texas,Southwestern,"42,807.00",F,28,slow,Mauricio.Underwood@ google.com,Physical Therapist,1-861-411-717
4-736-1658-44,Paxton,Haley,32789,Orlando,Florida,Southeastern,"57,200.00",M,39,fast,Paxton.Haley@ google.com,Chef,1-785-584-389
2-025-1755-64,Talon,Ruiz,46774,Fort Wayne, Indiana,MidWestern,"43,759.00",M,64,medium,Talon.Ruiz@ google.com,Mason,1-637-740-334
4-682-7167-23,Christian,Rowe,96759,Honolulu,Hawaii,Western,"56,096.00",M,52,slow,Christian.Rowe@ google.com,Environmental scientist,1-440-091-972
0-656-5242-08,Miles,Velazquez,89104,Las Vegas,Nevada,Western,"66,781.00",M,63,slow,Miles.Velazquez@ google.com,Anthropologist,1-035-760-767
9-602-2287-34,Wade,Valdez,99505,Anchorage,Alaska,Western,"24,323.00",F,70,slow,Wade.Valdez@ google.com,Insurance Agent,1-120-240-935
0-816-3600-98,Isaias,Bonilla,85201,Mesa,Arizona,Southwestern,"15,098.00",F,57,fast,Isaias.Bonilla@ google.com,Diagnostic Medical Sonographer,1-386-112-323
6-997-1709-53,Osvaldo,King,20330,Arlington,Texas,Southwestern,"40,562.00",F,70,medium,Osvaldo.King@ google.com,Massage Therapist,1-325-042-623
4-998-6189-69,Victor,Walters,33702,St. Petersburg,Florida,Southeastern,"53,392.00",M,34,medium,Victor.Walters@ google.com,Bookkeeping clerk,1-931-308-452
5-143-4055-35,Luca,Rice,43537,Toledo,Ohio,MidWestern,"43,090.00",F,67,fast,Luca.Rice@ google.com,Recreation & Fitness Worker,1-741-110-060
5-740-8508-27,Aarav,Gardner,44101,Cleveland,Ohio,MidWestern,"39,003.00",M,58,medium,Aarav.Gardner@ google.com,Musician,1-711-117-051
8-855-9552-67,Broderick,Hayden,45201,Cincinnati,Ohio,MidWestern,"51,953.00",F,47,fast ,Broderick.Hayden@ google.com,Systems Analyst,1-951-292-415
6-313-5476-04,Jordan,Buckley,97035,Portland,Oregon,Western,"68,763.00",F,46,fast,Jordan.Buckley@ google.com,Sports Coach,1-411-109-785
5-806-3221-04,Judah,Armstrong,23324,Chesapeake,Virginia,Southeastern,"8,518.00",F,29,slow,Judah.Armstrong@ google.com,Security Guard,1-487-979-416
4-620-5128-31,Ryder,Flynn,45202,Cincinnati,Ohio,MidWestern,"63,745.00",M,29,slow,Ryder.Flynn@ google.com,Budget analyst,1-861-091-932
7-155-4409-49,Franco,Cohen,77573,Fort Worth,Texas,Southwestern,"66,859.00",M,48,slow,Franco.Cohen@ google.com,Art Director,1-572-319-994
3-001-5684-82,Colin,Bond,46801,Fort Wayne,Indiana,MidWestern,"41,084.00",M,54,fast,Colin.Bond@ google.com,Electrician,1-314-585-005
5-953-6436-10,Jamison,Gallagher,91020,Glendale, Arizona,Southwestern,"48,877.00",F,46,medium,Jamison.Gallagher@ google.com,Hairdresser,1-899-886-048
7-312-8991-68,Easton,Hoffman,40502,Lexington-Fayette,Kentucky,Southeastern,"20,420.00",M,33,medium,Easton.Hoffman@ google.com,Logistician,1-367-945-680
3-652-7726-89,Trevon,Chavez,93307,San Jose,California,Western,"39,299.00",F,63,fast,Trevon.Chavez@ google.com,Cashier,1-059-712-674
9-260-0936-12,Isaiah,Huff,67208,Wichita,Kansas,MidWestern,"58,060.00",M,66,medium,Isaiah.Huff@ google.com,Carpenter,1-445-210-911
5-418-1378-80,Ahmad,Cochran,79938,Austin,Texas,Southwestern,"18,641.00",F,48,medium,Ahmad.Cochran@ google.com,Recreational Therapist,1-771-818-018
1-528-9416-72,Elliott,Knight,11001,North Hempstead,New York,Northeastern,"24,570.00",F,57,slow,Elliott.Knight@ google.com,Telemarketer,1-145-868-255
7-317-2320-06,William,Schmidt,53201,Milwaukee,Wisconsin,MidWestern,"37,020.00",M,35,fast,William.Schmidt@ google.com,Civil Engineer,1-308-715-104
7-157-7598-68,Miguel,Ferrell,30033,Atlanta,Georgia,Southeastern,"22,380.00",M,26,medium,Miguel.Ferrell@ google.com,Librarian,1-737-741-154
3-993-3300-17,Branson,Rhodes,91203,Glendale,Arizona,Southwestern,"26,291.00",M,43,fast ,Branson.Rhodes@ google.com,Compliance Officer,1-207-749-887
2-550-5368-33,Jacoby,Ray,78245,Garland,Texas,Southwestern,"21,697.00",F,65,fast,Jacoby.Ray@ google.com,Paralegal,1-460-487-829
1-187-9283-05,Tobias,Wolf,87101,Albuquerque,New Mexico,Southwestern,"40,027.00",F,36,slow,Tobias.Wolf@ google.com,Urban Planner,1-979-553-809
8-650-5045-03,Julien,Galloway,96801,Honolulu,Hawaii,Western,"21,537.00",M,63,slow,Julien.Galloway@ google.com,Marriage & Family Therapist,1-253-502-164
0-787-1129-23,Kingston,Phelps,85208,Mesa,Arizona,Southwestern,"40,884.00",F,67,slow,Kingston.Phelps@ google.com,Occupational Therapist,1-462-922-211
0-274-6953-74,Brayan,Carey,77479,Plano,Texas,Southwestern,"21,332.00",F,39,slow,Brayan.Carey@ google.com,Market Research Analyst,1-127-671-866
9-060-8770-38,Harold,Leblanc,2108,Boston,Massachusetts,New England,"31,844.00",F,48,fast,Harold.Leblanc@ google.com,Architect,1-311-237-843
4-682-8010-72,Quinton,Nelson,35005,Birmingham,Alabama,Southeastern,"69,501.00",M,60,medium,Quinton.Nelson@ google.com,Childcare worker,1-474-480-669
7-817-8433-86,Deangelo,Fleming,68007,Omaha,Nebraska,MidWestern,"10,190.00",M,61,medium,Deangelo.Fleming@ google.com,Mathematician,1-006-190-872
1-073-6935-22,Coby,Abbott,10001,New York,New York,Northeastern,"67,124.00",M,64,medium,Coby.Abbott@ google.com,Court Reporter,1-736-915-003
5-280-3355-34,Felix,Spencer,98052,Washington,District of Columbia,Northeastern,"12,453.00",M,64,fast,Felix.Spencer@ google.com,Construction Manager,1-666-393-713
5-030-3333-50,Alexander,Walls,85641,Tucson,Arizona,Southwestern,"41,543.00",F,67,slow,Alexander.Walls@ google.com,Dental Hygienist,1-996-269-914
4-145-6736-57,Ricardo,Conrad,95205,Stockton,California,Western,"45,190.00",F,56,fast,Ricardo.Conrad@ google.com,Dentist,1-644-638-572
1-223-6869-78,Kaleb,Ortega,99514,Anchorage,Alaska,Western,"16,016.00",F,61,medium,Kaleb.Ortega@ google.com,Fitness Trainer,1-681-754-630
9-232-9735-69,Brennen,Hoover,28205,Charlotte,North Carolina,Southeastern,"5,158.00",M,57,slow,Brennen.Hoover@ google.com,Actuary,1-091-404-391
2-264-6995-67,Gerald,Reeves,28134,Charlotte,North Carolina,Southeastern,"12,897.00",F,37,slow,Gerald.Reeves@ google.com,Computer Programmer,1-145-142-539
5-152-2792-06,Dorian,Francis,89433,Reno,Nevada,Western,"39,654.00",M,27,slow,Dorian.Francis@ google.com,Chemist,1-234-049-416
3-349-0365-01,Cassius,Riley,74008,Tulsa,Oklahoma,Southwestern,"63,153.00",F,55,fast,Cassius.Riley@ google.com,Middle School Teacher,1-150-372-979
0-494-1442-91,Mike,Meza,46077,Indianapolis,Indiana,MidWestern,"53,903.00",F,27,medium,Mike.Meza@ google.com,Electrical Engineer,1-733-533-588
9-664-1072-20,Aidan,Holloway,77584,Austin,Texas,Southwestern,"36,415.00",F,41,medium,Aidan.Holloway@ google.com,Lawyer,1-257-035-555
5-928-8615-46,Tyree,Caldwell,37501,Memphis,Tennessee,Southeastern,"10,263.00",M,37,fast,Tyree.Caldwell@ google.com,Artist,1-324-202-926
6-351-1285-58,Deven,Arroyo,7105,Newark,New Jersey,Northeastern,"26,788.00",M,47,medium,Deven.Arroyo@ google.com,Police Officer,1-523-618-991
3-070-2356-48,Izayah,Brock,78521,Garland,Texas,Southwestern,"47,066.00",M,40,fast ,Izayah.Brock@ google.com,Pharmacist,1-471-957-192
1-041-3945-72,Adan,Gates,22205,Arlington,Virginia,Southeastern,"64,140.00",F,28,fast,Adan.Gates@ google.com,Auto Mechanic,1-475-161-186
4-516-2171-48,Demarcus,Vaughn,63101,St. Louis,Missouri,Southeastern,"54,982.00",M,52,slow,Demarcus.Vaughn@ google.com,Computer Support Specialist,1-657-557-053
2-316-7557-04,Devyn,Fuller,92804,Los Angeles,California,Western,"5,974.00",F,70,slow,Devyn.Fuller@ google.com,Mechanical Engineer,1-000-319-894
7-648-3225-63,Rishi,Dillon,85704,Tucson,Arizona,Southwestern,"44,915.00",M,57,slow,Rishi.Dillon@ google.com,Medical Secretary,1-310-766-255
8-993-7903-00,Donte,Morton,23324,Norfolk,Virginia,Southeastern,"26,953.00",F,30,fast,Donte.Morton@ google.com,Landscaper & Groundskeeper,1-140-908-454
5-739-1764-40,Tanner,Melendez,85054,Scottsdale,Arizona,Southwestern,"20,314.00",F,26,medium,Tanner.Melendez@ google.com,Truck Driver,1-456-658-190
6-161-4257-41,Waylon,Dixon,14610,Rochester,New York,Northeastern,"31,249.00",M,56,medium,Waylon.Dixon@ google.com,Interpreter & Translator,1-775-222-143
6-455-8183-60,Max,Clarke,96804,Honolulu,Hawaii,Western,"38,302.00",M,69,fast,Max.Clarke@ google.com,Firefighter,1-934-701-531
7-663-4139-68,Lennon,Ho,43016,Columbus,Ohio,MidWestern,"22,323.00",M,36,medium,Lennon.Ho@ google.com,Epidemiologist,1-729-470-617
2-597-6918-16,Walter,Burgess,74012,Tulsa,Oklahoma,Southwestern,"16,053.00",M,37,medium,Walter.Burgess@ google.com,Elementary School Teacher,1-194-732-108
2-988-6779-26,Cash,Bradshaw,22207,Arlington,Virginia,Southeastern,"62,777.00",F,54,medium,Cash.Bradshaw@ google.com,Economist,1-341-930-193
8-772-5316-58,Zane,Suarez,95076,Sacramento,California,Western,"54,827.00",M,35,fast,Zane.Suarez@ google.com,Food Scientist,1-942-990-882
5-748-0141-05,Jonas,Beard,92154,Riverside,California,Western,"52,203.00",M,51,slow,Jonas.Beard@ google.com,Public Relations Specialist,1-236-786-662
6-252-8745-64,Trevin,Krueger,22211,Arlington,Virginia,Southeastern,"69,280.00",M,37,fast,Trevin.Krueger@ google.com,Janitor,1-375-997-241
6-409-7309-95,Tucker,Hendricks,77429,Lubbock,Texas,Southwestern,"57,327.00",M,48,medium,Tucker.Hendricks@ google.com,Coach,1-473-808-625
5-424-9843-85,Karson,Bailey,30302,Atlanta,Georgia,Southeastern,"49,951.00",F,68,medium,Karson.Bailey@ google.com,Massage Therapist,1-176-146-791
4-767-4311-69,Misael,Holt,55101,St. Paul,Minnesota,MidWestern,"56,650.00",M,47,fast,Misael.Holt@ google.com,Musician,1-958-809-307
9-003-5936-24,Clay,Garrison,80829,Colorado Springs,Colorado,Western,"5,353.00",F,42,medium,Clay.Garrison@ google.com,Cashier,1-278-291-512
1-389-0482-37,Chace,Vargas,11721,Huntington,New York,Northeastern,"25,000.00",M,35,fast ,Chace.Vargas@ google.com,Loan Officer,1-883-214-254
5-250-0169-92,Ean,Villa,43601,Toledo,Ohio,MidWestern,"63,024.00",F,25,fast,Ean.Villa@ google.com,Professional athlete,1-981-273-609
8-787-2165-94,Draven,Shannon,45205,Cincinnati,Ohio,MidWestern,"6,025.00",M,43,slow,Draven.Shannon@ google.com,Drafter,1-598-150-386
7-722-7829-00,Ray,Salas,40506,Lexington-Fayette,Kentucky,Southeastern,"17,371.00",F,35,slow,Ray.Salas@ google.com,Telemarketer,1-739-711-551
5-603-5511-71,Nikolas,Brady,11005,North Hempstead,New York,Northeastern,"6,244.00",M,27,slow,Nikolas.Brady@ google.com,Food Scientist,1-274-553-923
0-293-0003-98,Santos,Young,27214,Greensboro,North Carolina,Southeastern,"49,705.00",F,41,fast,Santos.Young@ google.com,Computer Support Specialist,1-511-113-617
0-199-3173-22,Cyrus,Reyes,87102,Albuquerque,New Mexico,Southwestern,"5,963.00",M,65,medium,Cyrus.Reyes@ google.com,Landscaper & Groundskeeper,1-771-086-516
0-653-5319-83,Jayvon,Duncan,23328,Chesapeake,Virginia,Southeastern,"36,994.00",F,43,medium,Jayvon.Duncan@ google.com,Cost Estimator,1-213-458-049
7-562-7691-13,Charlie,Crosby,85001,Phoenix,Arizona,Southwestern,"33,263.00",F,54,fast,Charlie.Crosby@ google.com,Physical Therapist,1-086-965-902
7-665-7628-11,Thomas,Hartman,94112,San Francisco,California,Western,"34,036.00",F,58,medium,Thomas.Hartman@ google.com,Chemist,1-636-378-394
1-433-2555-89,Brayden,Pennington,10017,New York,New York,Northeastern,"57,289.00",F,51,medium,Brayden.Pennington@ google.com,Microbiologist,1-068-370-656
4-775-3437-69,Harry,Morris,93033,Sacramento,California,Western,"60,885.00",F,65,medium,Harry.Morris@ google.com,Reporter,1-358-216-462
0-422-0300-84,Jonah,Howell,75217,El Paso,Texas,Southwestern,"24,731.00",M,60,fast,Jonah.Howell@ google.com,Actor,1-332-424-535
2-251-3301-81,Quincy,Davenport,53204,Milwaukee,Wisconsin,MidWestern,"5,585.00",M,56,slow,Quincy.Davenport@ google.com,Fitness Trainer,1-959-392-699
8-291-8530-43,Devon,Duran,33703,St. Petersburg,Florida,Southeastern,"20,322.00",M,63,fast,Devon.Duran@ google.com,Diagnostic Medical Sonographer,1-223-389-189
5-070-9666-96,Cedric,Bartlett,95823,Santa Ana,California,Western,"28,646.00",M,69,medium,Cedric.Bartlett@ google.com,Designer,1-863-441-342
0-421-2059-44,Trenton,Oliver,19019,Philadelphia,Pennsylvania,Northeastern,"9,638.00",F,65,slow,Trenton.Oliver@ google.com,School Counselor,1-464-377-074
8-300-8707-90,Lamont,Wood,33002,Hialeah,Florida,Southeastern,"38,633.00",F,63,slow,Lamont.Wood@ google.com,Web Developer,1-075-096-489
7-517-3606-25,Marco,Rangel,33704,St. Petersburg,Florida,Southeastern,"51,157.00",F,62,slow,Marco.Rangel@ google.com,Accountant,1-638-345-090
1-088-9094-55,Aditya,Gregory,36043,Montgomery,Alabama,Southeastern,"69,116.00",M,34,slow,Aditya.Gregory@ google.com,Lawyer,1-689-054-718
2-055-4109-32,Travis,Mejia,93550,Long Beach,California,Western,"49,068.00",F,51,fast,Travis.Mejia@ google.com,Personal Care Aide,1-899-238-339
2-144-6958-33,Heath,Keller,60618,Chicago,Illinois,MidWestern,"13,941.00",M,42,medium,Heath.Keller@ google.com,Speech-Language Pathologist,1-312-910-670
6-678-7786-78,Lewis,Nielsen,91710,Sacramento,California,Western,"52,323.00",F,48,medium,Lewis.Nielsen@ google.com,Medical Assistant,1-721-423-923
2-258-0016-05,Felipe,Leach,68501,Lincoln,Nebraska,MidWestern,"40,142.00",F,32,medium,Felipe.Leach@ google.com,Educator,1-459-389-880
3-567-8659-57,Antony,Byrd,85250,Scottsdale,Arizona,Southwestern,"27,300.00",F,58,fast,Antony.Byrd@ google.com,Carpenter,1-461-436-825
0-533-1638-08,Jeremy,Sims,33101,Miami,Florida,Southeastern,"37,269.00",M,58,slow,Jeremy.Sims@ google.com,Bus Driver,1-938-055-314
1-380-0183-27,Tristin,Moreno,98012,Washington,District of Columbia,Northeastern,"15,313.00",M,46,fast,Tristin.Moreno@ google.com,Urban Planner,1-104-355-387
2-896-7460-02,Martin,Yoder,80903,Colorado Springs,Colorado,Western,"28,855.00",M,55,medium,Martin.Yoder@ google.com,Sports Coach,1-626-392-100
9-563-9362-30,Lorenzo,Pitts,92592,Chula Vista,California,Western,"12,728.00",F,66,slow,Lorenzo.Pitts@ google.com,Maintenance & Repair Worker,1-824-299-617
9-311-5757-49,Michael,Downs,91744,Anaheim,California,Western,"11,752.00",M,36,slow,Michael.Downs@ google.com,Medical Secretary,1-412-357-381
5-581-1837-71,Raiden,Levy,92509,Long Beach,California,Western,"25,121.00",F,65,slow,Raiden.Levy@ google.com,Customer Service Representative,1-578-451-931
1-242-4232-50,Nick,Oconnor,91207,Glendale,Arizona,Southwestern,"14,525.00",M,65,fast,Nick.Oconnor@ google.com,Writer,1-470-009-776
1-979-2149-86,Kaeden,Hammond,97203,Portland,Oregon,Western,"57,292.00",F,39,medium,Kaeden.Hammond@ google.com,Marketing Manager,1-660-730-250
1-459-9703-71,Lane,Flowers,7112,Newark,New Jersey,Northeastern,"63,548.00",M,42,medium,Lane.Flowers@ google.com,Dentist,1-116-707-855
2-835-5280-28,Kenyon,Chase,11021,North Hempstead,New York,Northeastern,"9,557.00",M,51,fast,Kenyon.Chase@ google.com,School Psychologist,1-703-609-425
